images,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/target.png,0,0,0,0,15.988124500028789,None,,001,2022_Jan_07_1729,Sarah,2021.2.3,240.51469977679395,
images/target.png,0,1,1,1,21.954604200087488,None,,001,2022_Jan_07_1729,Sarah,2021.2.3,240.51469977679395,
images/target.png,0,2,2,2,27.949955500196666,None,,001,2022_Jan_07_1729,Sarah,2021.2.3,240.51469977679395,
images/target.png,0,3,3,3,33.936326399911195,None,,001,2022_Jan_07_1729,Sarah,2021.2.3,240.51469977679395,
images/target.png,0,4,4,4,39.9626827002503,None,,001,2022_Jan_07_1729,Sarah,2021.2.3,240.51469977679395,
images/target.png,0,5,5,5,45.950653700158,None,,001,2022_Jan_07_1729,Sarah,2021.2.3,240.51469977679395,
images/target.png,0,6,6,6,51.94939580000937,None,,001,2022_Jan_07_1729,Sarah,2021.2.3,240.51469977679395,
images/target.png,0,7,7,7,57.96349629992619,None,,001,2022_Jan_07_1729,Sarah,2021.2.3,240.51469977679395,
images/target.png,0,8,8,8,63.967998600099236,None,,001,2022_Jan_07_1729,Sarah,2021.2.3,240.51469977679395,
images/target.png,0,9,9,9,69.94904820015654,None,,001,2022_Jan_07_1729,Sarah,2021.2.3,240.51469977679395,
