images,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/target.png,0,0,0,0,19.045107900048606,None,xxx,001,2022_Jan_18_1334,Sarah,2021.2.3,239.79320255405656,
images/target.png,0,1,1,1,25.013099500036333,None,xxx,001,2022_Jan_18_1334,Sarah,2021.2.3,239.79320255405656,
images/target.png,0,2,2,2,31.018330899998546,None,xxx,001,2022_Jan_18_1334,Sarah,2021.2.3,239.79320255405656,
images/target.png,0,3,3,3,37.021222900017165,None,xxx,001,2022_Jan_18_1334,Sarah,2021.2.3,239.79320255405656,
images/target.png,0,4,4,4,43.02157989999978,None,xxx,001,2022_Jan_18_1334,Sarah,2021.2.3,239.79320255405656,
images/target.png,0,5,5,5,49.02761600003578,None,xxx,001,2022_Jan_18_1334,Sarah,2021.2.3,239.79320255405656,
images/target.png,0,6,6,6,55.02091650001239,None,xxx,001,2022_Jan_18_1334,Sarah,2021.2.3,239.79320255405656,
images/target.png,0,7,7,7,61.02298890001839,None,xxx,001,2022_Jan_18_1334,Sarah,2021.2.3,239.79320255405656,
images/target.png,0,8,8,8,67.01192930003162,None,xxx,001,2022_Jan_18_1334,Sarah,2021.2.3,239.79320255405656,
images/target.png,0,9,9,9,73.0227492999984,None,xxx,001,2022_Jan_18_1334,Sarah,2021.2.3,239.79320255405656,
