images,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/target.png,0,0,0,3,14.515183500014246,None,,001,2022_Jan_24_1057,Sarah,2021.2.3,242.11433639238717,
images/target.png,0,1,1,9,20.473964900011197,None,,001,2022_Jan_24_1057,Sarah,2021.2.3,242.11433639238717,
images/target.png,0,2,2,2,26.483237100066617,None,,001,2022_Jan_24_1057,Sarah,2021.2.3,242.11433639238717,
images/target.png,0,3,3,1,32.49832300003618,None,,001,2022_Jan_24_1057,Sarah,2021.2.3,242.11433639238717,
images/target.png,0,4,4,4,38.482122000074014,None,,001,2022_Jan_24_1057,Sarah,2021.2.3,242.11433639238717,
images/target.png,0,5,5,7,44.476181100006215,None,,001,2022_Jan_24_1057,Sarah,2021.2.3,242.11433639238717,
images/target.png,0,6,6,0,50.48203470010776,None,,001,2022_Jan_24_1057,Sarah,2021.2.3,242.11433639238717,
images/target.png,0,7,7,6,56.4842560000252,None,,001,2022_Jan_24_1057,Sarah,2021.2.3,242.11433639238717,
images/target.png,0,8,8,8,62.48515910003334,None,,001,2022_Jan_24_1057,Sarah,2021.2.3,242.11433639238717,
images/target.png,0,9,9,5,68.48352030001115,None,,001,2022_Jan_24_1057,Sarah,2021.2.3,242.11433639238717,
images/target.png,1,0,10,6,74.480911700055,None,,001,2022_Jan_24_1057,Sarah,2021.2.3,242.11433639238717,
images/target.png,1,1,11,3,80.49874270008877,None,,001,2022_Jan_24_1057,Sarah,2021.2.3,242.11433639238717,
images/target.png,1,2,12,5,86.48776910000015,None,,001,2022_Jan_24_1057,Sarah,2021.2.3,242.11433639238717,
