images,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/target.png,0,0,0,0,14.034739500377327,None,,001,2022_Jan_07_1731,Sarah,2021.2.3,240.44357143884824,
images/target.png,0,1,1,1,20.0095103001222,None,,001,2022_Jan_07_1731,Sarah,2021.2.3,240.44357143884824,
images/target.png,0,2,2,2,26.00550670037046,None,,001,2022_Jan_07_1731,Sarah,2021.2.3,240.44357143884824,
images/target.png,0,3,3,3,32.01139220036566,None,,001,2022_Jan_07_1731,Sarah,2021.2.3,240.44357143884824,
images/target.png,0,4,4,4,38.01439160015434,None,,001,2022_Jan_07_1731,Sarah,2021.2.3,240.44357143884824,
images/target.png,0,5,5,5,44.00281510036439,None,,001,2022_Jan_07_1731,Sarah,2021.2.3,240.44357143884824,
images/target.png,0,6,6,6,50.01513270009309,None,,001,2022_Jan_07_1731,Sarah,2021.2.3,240.44357143884824,
images/target.png,0,7,7,7,56.02625610027462,None,,001,2022_Jan_07_1731,Sarah,2021.2.3,240.44357143884824,
images/target.png,0,8,8,8,62.01867870008573,None,,001,2022_Jan_07_1731,Sarah,2021.2.3,240.44357143884824,
images/target.png,0,9,9,9,68.00933560030535,None,,001,2022_Jan_07_1731,Sarah,2021.2.3,240.44357143884824,
